cpu_ns,fpga_ns
38117,1452112
19784,1359720
17674,1496336
17594,1335904
16979,1343832
16948,1320400
16855,1326304
16849,1360352
16689,1461040
16972,1333528
16523,1352544
16221,1349840
16708,1349896
16344,1432064
16406,1356736
16542,1317000
16628,1383248
17163,1311024
16615,1346024
16609,1539512
16652,1478544
16370,1374512
16480,1321336
16664,1366848
16412,1306968
16714,1297360
16689,1315440
16197,1394784
16529,1301104
16757,1339584
16480,1336696
16345,1298576
16844,1455848
16775,1375288
16578,1305128
17114,1310552
17815,1319448
17520,1321128
17151,1435064
16917,1342000
16609,1303704
17563,1315712
16757,1327192
16535,1305744
16677,2123312
16394,1333736
16376,1319720
16610,1320904
16517,1321280
16387,1426488
16308,1346232
123809,1365416
26074,1353296
20147,1341064
17865,1517512
16905,1320176
16646,1520344
16782,1537088
16529,1415784
16874,1399336
16935,1364808
16142,1375712
16622,1427280
16406,1342920
16487,1352952
17416,1368240
17298,1334040
17010,1402688
16788,1544048
16603,1444784
16062,1411936
16947,1342560
16886,1504800
17268,1391408
16480,1393240
16683,1377384
16726,1351952
17637,1334464
17987,1463288
16948,1411184
16757,1392656
16585,1353504
16227,1371000
16505,1540240
16628,1396064
16363,9215136
16745,1488264
16517,1371792
16406,1316392
16370,1312952
16326,1522104
16585,1374776
16633,1372160
25834,1310520
17766,1389024
16892,1500112
16732,1392512
16350,1334736
16400,1355392
16000,1339128
